label,type,author,title,journal,year,volume,number,pages,month,abstract,doi,issn,eissn,unique_id,researcherid_numbers,orcid_numbers,note,article_number,organization,book_group_author,booktitle,series,isbn,screened_abstracts,comments,downloaded,extractable?,potential_figures,extracted,extraction_notes
X.WOS.000181164900005,article,"Lange, OL",Photosynthetic productivity of the epilithic lichen Lecanora muralis: long-term field monitoring of CO2 exchange and its physiological interpretation II. Diel and seasonal patterns of net photosynthesis and respiration,FLORA,2003,198,1,55-70,NA,"CO2 exchange of the epilithic, green algal lichen Lecanora muralis was monitored continuously for 15 months by means of an automatic cuvette in its natural habitat in the Botanical Garden, Wurzburg (Bavaria, Germany). Simultaneously weather data and chlorophyll fluorescence were recorded. The periods of metabolic activity for the lichen were restricted because of the low water holding capacity of its thin thallus and high desiccation rates. The total activity was only 35.6\% of the year made up of net photosynthetic CO2 uptake, 16.7\%, and respiratory CO2 release, 18.9\%. This was substantially less than found for gelatinous or foliose lichens under similar conditions. The active time was longest in October (57.7\%) and shortest in June (17.2\%). Lecanora muralis suffered from strong suprasaturation depression of net photosynthesis so that its carbon gain was substantially limited after heavy wetting. Averaged over the total year, net photosynthesis (NP) of the lichen was heavily depressed through suprasaturation for 38.5\% of that time when photosynthesis was possible. NP took place under snow and at subzero thallus temperatures (between -4 and -5degreesC). Water status was the most important factor that determined the diurnal patterns of NP. Diel time courses of photosynthetic and respiratory performance could be divided in several response types such as lichen dry all day, lichen moistened by dew or frost, rain during night and subsequent drying during the day, rain during the day with or without suprasaturation depression, and lichen below snow. The seasonal distribution of these response types was analysed. Optimal NP was only possible over a very small range of WC (water content) that rarely occurred in combination with optimal light and temperature conditions. Thus, maximal rates of NP were seldom attained and then lasted only for a short time, sometimes no longer than a few minutes. The interplay between weather conditions and physiological responses of the lichen is discussed whilst diel, seasonal and annual carbon gain and carbon balance of L. muralis will be analysed in a further communication.",10.1016/S0367-2530(04)70052-3,0367-2530,NA,WOS:000181164900005,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,unclear,n,n,ambient ,,
X.WOS.000459805400011,article,"Guan, Chao and Li, Xinrong and Zhang, Peng and Li, Chenhui","Effect of global warming on soil respiration and cumulative carbon release in biocrust-dominated areas in the Tengger Desert, northern China",JOURNAL OF SOILS AND SEDIMENTS,2019,19,3,1161-1170,MAR,"PurposeGlobal warming is expected to have profound effects on terrestrial carbon (C) fluxes, consequently influencing future climate. Biocrusts are important sources of C in the C cycle of desert ecosystems, where vascular plants are restricted by limited soil moisture. This study was conducted in order to evaluate the expected increases in temperature on soil respiration in biocrust-dominated areas.Materials and methodsIn a field warming experiment, we evaluated the impact of increased temperature on soil respiration in biocrust-dominated (moss-crusted and lichen-crusted) areas in Shapotou, China. In addition, the impacts of precipitation, soil temperature, and moisture on soil respiration were investigated.Results and discussionThe effect of warming on soil respiration varied with soil water availability. Our results showed that soil respiration in moss-crusted and lichen-crusted areas in the warming treatment was significantly lower than that in the control. The observed inhibition of soil respiration by the increase in soil temperature was likely due to the reduction in soil moisture caused by the increased water evaporation rate under higher soil temperature. Warming also decreased cumulative C release in moss-crusted and lichen-crusted areas. Moreover, cumulative C release showed marked seasonal variations, with the highest C release occurring in summer and the lowest in winter. Over the seasonal cycle, soil respiration rates were positively correlated with precipitation, soil temperature, and volumetric soil water content.ConclusionsThe results of this study indicate that warming may increase the sensitivity of soil respiration to water availability in biocrust-dominated areas in desert ecosystems, suggesting that biocrust should be considered in projections of future C budget.",10.1007/s11368-018-2171-4,1439-0108,1614-7480,WOS:000459805400011,"Li, Chenhui/AAL-8984-2020",NA,NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"soil respiration rates and soil temperature, not really relevant ",,
X.WOS.000531077700002,article,"Liu, Peng and Zha, Tianshan and Jia, Xin and Bourque, Charles P-A and Tian, Yun and Ma, Jingyong and Bai, Yujie and Wu, Yajuan and Muhammad, Hayat",Soil respiration sensitivity to temperature in biocrusted soils in a desert-shrubland ecosystem,CATENA,2020,191,NA,NA,AUG,"A precise prediction of the response in soil respiration (R-s) to climate warming requires the temperature-driven portion of the response to be characterized separately from the global, undecomposed response. Eliminating non-temperature-driven effects, which tend to confound the response in R-s is possible with Singular Spectrum Analysis (SSA), a non-parametric approach to timeseries analysis. R-s and ancillary data were collected at three microsites in a desert-shrubland ecosystem in northwest China over a three-year period (i.e., 2013-2015). The microsites include desert-sites with non-biocrusted, lichen-crusted, and moss-crusted soil surfaces, or NC, LC, and MC, respectively. Results revealed that temperature sensitivity in R-s (i.e., Q(10)) based on the original, un-processed R-s-data and a seasonal equation relating R-s to temperature were similar among microsites, with similar amplitudes in R-s. High-frequency bins of R-s with sub-signals with a period < 90 days, obtained by subtracting the low-frequency bins from timeseries of R-s were positively correlated with soil moisture (theta) at all microsites. Whereas, the same high-frequency bins were individually decoupled from soil temperature at LC and MC. This suggests that the influence of theta on the response in R-s to temperature dominated the R-s-measurements over the shorter term. After eliminating the non-temperature effects on R-s with SSA, Qio tended to produce lower values, i.e., 1.40, 1.28, and 1.34 for NC, LC and MC, respectively, when compared to cases where non-temperature effects were not removed, yielding a mean of 2.28. Q(10)-values estimated with SSA-processed R-s-data were consistent with those published at the ecosystem level (i.e., Re similar to 1.40). The research suggests that SSA-adjusted Q(10)-values tend to be similar with those at the ecosystem scale. Future theoretical work is anticipated using a convergent temperature-only-based value of Q(10 )between R-s and R-e across ecosystems.",10.1016/j.catena.2020.104556,0341-8162,1872-6887,WOS:000531077700002,NA,"Zha, Tian-shan/0000-0001-5339-630X",NA,104556,NA,NA,NA,NA,NA,selected,,n,n,"soil respiration, no temperature dependence ",,
X.WOS.000382504500004,article,"Sanders, William B. and de los Rios, Asuncion",Structure of foliicolous thalli of the Gomphillaceae in a south-western Florida lichen community,LICHENOLOGIST,2016,48,4,293-303,JUL,"Foliicolous lichens complete their life cycles upon non-deciduous leaves in humid tropical and subtropical environments. The anatomy of these lichens and its adaptations to this specialized niche have received only limited attention. The present work examines the structural organization in seven species of the Gomphillaceae that colonize palm leaves in south-west Florida, USA. Thalli with their leaf substratum were embedded in resin and examined with SEM in backscattered electron detection mode. All species showed a continuous, covering epilayer of fungal origin that consisted of relatively sparse, scattered cell lumina of reduced diameter connected by cell wall-derived material. Fungal cells were intermixed below this layer, with algal cells often resting directly on the substratum. Interactions between symbionts were mainly limited to wall-to-wall contacts without penetration. The epilayer showed continuity with the fungal prothallus at the perimeter of the thalli. Crystalline deposits in the upper portions of thalli were common, particularly in the species of Gyalectidium examined. All thalli were entirely epicuticular; some covered the stomata of the leaf beneath. It is suggested that the prominence of non-living wall materials and mineral crystals in thallus structure might serve to minimize the metabolic cost of fungal tissue in climates where warm temperatures at night result in higher rates of respiration.",10.1017/S0024282916000219,0024-2829,1096-1135,WOS:000382504500004,"de los Rios, Asuncion/L-3694-2014 ","de los Rios, Asuncion/0000-0002-0266-3516 Sanders, William B./0000-0001-9572-4244",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"morphology study, no temperature data ",,
X.WOS.000582381600010,article,"Guan, Chao and Zhang, Peng and Zhao, Changming and Li, Xinrong",Effects of warming and rainfall pulses on soil respiration in a biological soil crust-dominated desert ecosystem,GEODERMA,2021,381,NA,NA,1-Jan,"Biological soil crusts (BSCs) across desert ecosystems play an important role in modulating terrestrial carbon cycles. Global warming and changes in precipitation patterns are expected to be important triggers for biological activity in BSC-dominated desert ecosystems. Therefore, it is crucial to study the effects of warming and rainfall pulses on soil respiration dynamics at BSC-dominated microsites to predict terrestrial carbon cycling under climate change. In this study, soil respiration rates were monitored continuously during three types of natural precipitation events in lichen-dominated and moss-dominated crusts in both control and warming treatments. Our results revealed that soil respiration was inhibited in BSC-dominated microsites in the warming treatment because of reduced soil water content induced by the warmer conditions, and that the extent of inhibition was lower in the lichen-dominated crusts than in the moss-dominated crusts. During all the precipitation events, soil respiration rates were significantly increased by rainfall pulses and gradually declined thereafter. Over the daily cycle, the clockwise diel hysteresis loop between soil respiration and soil temperature was modified by soil water availability, which was affected by the magnitude of rainfall pulses. Moreover, the effect of photosynthetically active radiation and the mismatch between the depth of carbon dioxide (CO2) production and soil temperature measurement may have contributed to the diel hysteresis pattern. Our results indicated that warming and different types of precipitation events in BSC-dominated desert ecosystems impact soil carbon release through changes in the magnitude of soil respiration.",10.1016/j.geoderma.2020.114683,0016-7061,1872-6259,WOS:000582381600010,NA,NA,NA,114683,NA,NA,NA,NA,NA,selected,,n,n,"soil respiration rates and soil temperature, not really relevant ",,
X.WOS.000231704600004,article,"Friedmann, EI and Sun, HJ","Communities adjust their temperature optima by shifting producer-to-consumer ratio, shown in lichens as models: I. Hypothesis",MICROBIAL ECOLOGY,2005,49,4,523-527,MAY,"An apparent paradox exists in the ecology of Antarctic lichens: their net photosynthetic temperature optimum (around 0 degrees C) lies far below the temperature optima of their constituent algae and fungi ( around 20 degrees C). To address this paradox, we consider lichens as microbial communities and propose the ``community adaptation'' hypothesis, which posits that in each thermal regime there is an equilibrium between photosynthetic primary producers (photobionts), and heterotrophic consumers (mycobiont and parasymbiont fungi). This equilibrium, expressed as the producer/consumer ratio (R-p/c), maximizes the fitness of the community. As respiration increases with temperature, more rapidly than does photosynthesis, R-p/c will shift accordingly in warm habitats, resulting in a high-growth temperature optimum for the community (the lichen). This lends lichens an adaptive flexibility that enables them to function optimally at any thermal regime within the tolerance limits of the constituent organisms. The variable equilibrium of producers and consumers may have a similar role in thermal adaptation of more complex communities and ecosystems.",10.1007/s00248-005-3680-4,0095-3628,NA,WOS:000231704600004,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,MAYBE REALLY RELEVANT ,y,n,BIG background/mechanisms behind symbiosis,,
X.WOS.000445728800015,article,"Garcia-Palacios, Pablo and Escolar, Cristina and Dacal, Marina and Delgado-Baquerizo, Manuel and Gozalo, Beatriz and Ochoa, Victoria and Maestre, Fernando T.",Pathways regulating decreased soil respiration with warming in a biocrust-dominated dryland,GLOBAL CHANGE BIOLOGY,2018,24,10,4645-4656,OCT,"A positive soil carbon (C)-climate feedback is embedded into the climatic models of the IPCC. However, recent global syntheses indicate that the temperature sensitivity of soil respiration (R-S) in drylands, the largest biome on Earth, is actually lower in warmed than in control plots. Consequently, soil C losses with future warming are expected to be low compared with other biomes. Nevertheless, the empirical basis for these global extrapolations is still poor in drylands, due to the low number of field experiments testing the pathways behind the long-term responses of soil respiration (R-S) to warming. Importantly, global drylands are covered with biocrusts (communities formed by bryophytes, lichens, cyanobacteria, fungi, and bacteria), and thus, R-S responses to warming may be driven by both autotrophic and heterotrophic pathways. Here, we evaluated the effects of 8-year experimental warming on R-S, and the different pathways involved, in a biocrust-dominated dryland in southern Spain. We also assessed the overall impacts on soil organic C (SOC) accumulation over time. Across the years and biocrust cover levels, warming reduced R-S by 0.30molCO(2)m(-2)s(-1) (95\% CI=-0.24 to 0.84), although the negative warming effects were only significant after 3years of elevated temperatures in areas with low initial biocrust cover. We found support for different pathways regulating the warming-induced reduction in R-S at areas with low (microbial thermal acclimation via reduced soil mass-specific respiration and -glucosidase enzymatic activity) vs. high (microbial thermal acclimation jointly with a reduction in autotrophic respiration from decreased lichen cover) initial biocrust cover. Our 8-year experimental study shows a reduction in soil respiration with warming and highlights that biocrusts should be explicitly included in modeling efforts aimed to quantify the soil C-climate feedback in drylands.",10.1111/gcb.14399,1354-1013,1365-2486,WOS:000445728800015,"Garcia-Palacios, Pablo/K-7567-2014 Dacal, Marina/B-6098-2018 Delgado-Baquerizo, Manuel/L-3653-2017 Maestre, Fernando T./A-6825-2008 ","Garcia-Palacios, Pablo/0000-0002-6367-4761 Maestre, Fernando T./0000-0002-7434-4856 DELGADO-BAQUERIZO, MANUEL/0000-0002-6499-576X Dacal, Marina/0000-0002-1321-9373",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,"BSCs, warming over 8 years, no temperature dependence ",,
X.WOS.000382470000010,article,"Liu, Peng and Zha, Tianshan and Jia, Xin and Wang, Ben and Guo, Xiaonan and Zhang, Yuqing and Wu, Bin and Yang, Qiang and Peltola, Heli",Diurnal Freeze-Thaw Cycles Modify Winter Soil Respiration in a Desert Shrub-Land Ecosystem,FORESTS,2016,7,8,NA,AUG,"Winter soil respiration (R-s) is becoming a significant component of annual carbon budgets with more warming in winter than summer. However, little is known about the controlling mechanisms of winter R-s in dryland. We made continuous measurements of R-s in four microsites (non-crust (BS), lichen (LC), moss (MC), and a mixture of moss and lichen (ML)) in a desert shrub-land ecosystem northern China, to investigate the causes of R-s dynamics in winter. The mean winter R-s ranged from 0.10 to 0.17 mu mol CO2 m(-2).s(-1) across microsites, with the highest value in BS. Winter Q(10) (known as the increase in respiration rate per 10 degrees C increase in temperature) values (2.8-19) were much higher than those from the growing season (1.5). R-s and Q(10) were greatly enhanced in freeze-thaw cycles compared to frozen days. Diurnal patterns of R-s between freeze-thaw and frozen days differed. Although the freeze-thaw period was relatively short, its cumulative R-s contributed significantly to winter R-s. The presence of biocrust might induce lower temperature, thus having fewer freeze-thaw cycles relative to bare soil, leading to the lower R-s for microsites with biocrusts. In conclusion, winter R-s in drylands was sensitive to soil temperature (T-s) and T-s-induced freeze-thaw cycles. The temperature impact on R-s varied among soil cover types. Winter R-s in drylands may become more important as the climate is continuously getting warmer.",10.3390/f7080161,NA,1999-4907,WOS:000382470000010,"LIU, PENG/AAB-7390-2020",NA,NA,161,NA,NA,NA,NA,NA,selected,,n,n,"soil respiration rates, does have temperature dependence but split by BSC dominance ",,
X.WOS.A1993MQ45000003,article,"KAPPEN, L","PLANT ACTIVITY UNDER SNOW AND ICE, WITH PARTICULAR REFERENCE TO LICHENS",ARCTIC,1993,46,4,297-302,DEC,"In polar ecosystems primary producers have to cope with the very limited living conditions of the harsh climate. Vascular plants in the Northern Hemisphere extend to the northern-most edges of the continents, but only two taxa are present as far south as the Antarctic Peninsula region in the Southern Hemisphere. Lower plants, lichens in particular, become more important with increasing latitudes and form the dominant element of the Antarctic vegetation. Based on recent investigations and literature, this paper discusses to what extent lichens are better adapted to snow and ice than vascular plants. Vascular plants in high latitudes have high freezing tolerances but are photosynthetically inactive in winter (e.g., evergreen coniferous species), while lichens in a highly freezing-tolerant stage can be active and productive under winter conditions. Vascular plants can be active under snow but have no photosynthesis if the tissue is frozen. Recent in situ measurements indicate that lichens are able to photosynthesize at temperatures below -10-degrees-C, apparently in the frozen state. It was also found that photosynthetic CO2 exchange of dry thalli can be activated by snow during frost. Water uptake during winter was also recorded for coniferous trees at the arctic timberline. This uptake may reduce water stress in conifers but apparently has no relevance for metabolic activity. Water uptake from snow and metabolic activity at -10-degrees-C are possible for lichens because they are able to photosynthesize at water potentials lower than -20 MPa. Although lichens are adapted to be active in snow at low temperatures, strong light on clear days may inhibit the photosynthetic apparatus.",10.14430/arctic1356,0004-0843,1923-1245,WOS:A1993MQ45000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,,n,n,no temperature dependent figures (did reference Lange and Kpapen 1972),,
X.WOS.000429379600040,article,"Guan, Chao and Li, Xinrong and Zhang, Peng and Chen, Yongle",Diel hysteresis between soil respiration and soil temperature in a biological soil crust covered desert ecosystem,PLOS ONE,2018,13,4,NA,6-Apr,"Soil respiration induced by biological soil crusts (BSCs) is an important process in the carbon (C) cycle in arid and semi-arid ecosystems, where vascular plants are restricted by the harsh environment, particularly the limited soil moisture. However, the interaction between temperature and soil respiration remains uncertain because of the number of factors that control soil respiration, including temperature and soil moisture, especially in BSC-dominated areas. In this study, the soil respiration in moss-dominated crusts and lichen-dominated crusts was continuously measured using an automated soil respiration system over a one-year period from November 2015 to October 2016 in the Shapotou region of the Tengger Desert, northern China. The results indicated that over daily cycles, the half-hourly soil respiration rates in both types of BSC-covered areas were commonly related to the soil temperature. The observed diel hysteresis between the half-hourly soil respiration rates and soil temperature in the BSC-covered areas was limited by nonlinearity loops with semielliptical shapes, and soil temperature often peaked later than the half-hourly soil respiration rates in the BSC-covered areas. The average lag times between the half-hourly soil respiration rates and soil temperature for both types of BSC-covered areas were two hours over the diel cycles, and they were negatively and linearly related to the volumetric soil water content. Our results highlight the diel hysteresis phenomenon that occurs between soil respiration rates and soil temperatures in BSC-covered areas and the negative response of this phenomenon to soil moisture, which may influence total C budget evaluations. Therefore, the interactive effects of soil temperature and moisture on soil respiration in BSC-covered areas should be considered in global carbon cycle models of desert ecosystems.",10.1371/journal.pone.0195606,1932-6203,NA,WOS:000429379600040,NA,NA,NA,e0195606,NA,NA,NA,NA,NA,selected,,n,n,"lichen dominated BSCs, no temperature dependence",,
X.WOS.000185560400003,article,"Lange, OL","Photosynthetic productivity of the epilithic lichen Lecanora muralis: long-term field monitoring of CO2 exchange and its physiological interpretation - III. Diel, seasonal, and annual carbon budgets",FLORA,2003,198,4,277-292,NA,"Carbon dioxide exchange of the epilithic, green algal lichen Lecanora muralis and the weather conditions in its natural habitat in the Botanical Garden, Wurzburg (Bavaria, Germany), were monitored by means of an automatic cuvette. The continuity of the data over a total of 15 months of measurements enabled integrals to be calculated of diet, monthly, seasonal, and annual sums of photosynthetic carbon income (SigmaNP), respiratory carbon loss (SigmaDR) and carbon budget (net primary production, SigmaC = SigmaNP - SigmaDR). Annual SigmaNP for the period July 1995 through June 1996 was 50021 mg m(-2) year(-1) but respiratory processes lost 57\% of this n year Much smaller so that SigmaC amounted to 21494 mg m(-2) year(-1) (20.7\% of thallus carbon content). If summer 1996, which had a I productivity than summer 1995, is included, annual SigmaC was only 15.8\% of carbon content for the period October 1995 through September 1996. The lichen showed extremely high variability in its daily CO2 exchange, and performance depended almost completely on the momentary hydration conditions. Diet SigmaNP and SigmaC were not greatly influenced by thallus temperature, and manner of moistening was more important than high PPFD. Days with favourable primary production occurred in all seasons. Negative diet SigmaC was frequent through the year and carbon loss occurred on 25\% of the 274 days of the year on which the lichen was metabolically active. The various weather response types, because of their characteristic influence on the mode and extend of thallus hydration, differed considerably in their contribution to the annual carbon balance of the lichen. 74 days of heavy rain during the year produced only 4.2\% of the annual SigmaC, because, under Such conditions, SigmaDR was high and SigmaNP was limited by depression of thallus gas exchange due to suprasaturation. In contrast, days with dew (40.0\% of annual SigmaC in 105 days) or those with nocturnal rain and subsequent drying (28.5\% in 57 days) were the best contributors to annual SigmaC. Differences in the frequency of occurrence of the different weather condition types through the year meant that lichen productivity apparently followed a seasonal pattern, each season resulting in a positive carbon balance. Autumn and Summer 1995 were the most productive seasons, and the lowest was spring with no more than 18\% of the autumn production. In summer, the season which was covered twice during the measurements, SigmaC was less than one fourth in 1996 of that in 1995, underlining the high variability in the photosynthetic production of the lichen. Thus, firm generalisations are still not possible about seasonality of production for this species. There was no correlation between monthly SigmaC and monthly rainfall. Due to the complex interdependencies of CO2 exchange of L. muralis simple predictions of its carbon budget from meteorological standard data are likely to be very difficult or even impossible.",10.1016/S0367-2530(04)70071-7,0367-2530,NA,WOS:000185560400003,NA,NA,NA,NA,NA,NA,NA,NA,NA,selected,likely not relevant,n,n,"no temperature depedence, all time series ",,
X.WOS.000339551100069,article,"Feng, Wei and Zhang, Yuqing and Jia, Xin and Wu, Bin and Zha, Tianshan and Qin, Shugao and Wang, Ben and Shao, Chenxi and Liu, Jiabin and Fa, Keyu",Impact of Environmental Factors and Biological Soil Crust Types on Soil Respiration in a Desert Ecosystem,PLOS ONE,2014,9,7,NA,22-Jul,"The responses of soil respiration to environmental conditions have been studied extensively in various ecosystems. However, little is known about the impacts of temperature and moisture on soils respiration under biological soil crusts. In this study, CO2 efflux from biologically-crusted soils was measured continuously with an automated chamber system in Ningxia, northwest China, from June to October 2012. The highest soil respiration was observed in lichen-crusted soil (0.9360.43 mu mol m(-2) s(-1)) and the lowest values in algae-crusted soil (0.73+/-0.31 mu mol m(-2) s(-1)). Over the diurnal scale, soil respiration was highest in the morning whereas soil temperature was highest in the midday, which resulted in diurnal hysteresis between the two variables. In addition, the lag time between soil respiration and soil temperature was negatively correlated with the soil volumetric water content and was reduced as soil water content increased. Over the seasonal scale, daily mean nighttime soil respiration was positively correlated with soil temperature when moisture exceeded 0.075 and 0.085 m(3) m(-3) in lichen-and moss-crusted soil, respectively. However, moisture did not affect on soil respiration in algae-crusted soil during the study period. Daily mean nighttime soil respiration normalized by soil temperature increased with water content in lichen-and moss-crusted soil. Our results indicated that different types of biological soil crusts could affect response of soil respiration to environmental factors. There is a need to consider the spatial distribution of different types of biological soil crusts and their relative contributions to the total C budgets at the ecosystem or landscape level.",10.1371/journal.pone.0102954,1932-6203,NA,WOS:000339551100069,NA,NA,NA,e102954,NA,NA,NA,NA,NA,selected,,n,n,"soil respiration rates, does have temperature dependence but split by BSC dominance ",,
X.WOS.000255954100002,article,"Jonsson, Anna V. and Moen, Jon and Palmqvist, Kristin",Predicting lichen hydration using biophysical models,OECOLOGIA,2008,156,2,259-273,MAY,"Two models for predicting the hydration status of lichens were developed as a first step towards a mechanistic lichen productivity model. A biophysical model included the water potential of the air, derived from measurements of air temperature, relative humidity and species-specific rate constants for desiccation and rehydration. A reduced physical model, included only environmental parameters, assuming instantaneous equilibration between the lichen and the air. These models were developed using field and laboratory data for three green algal lichens: the foliose epiphytic Platismatia glauca (L.) W. Culb., the fruticose epiphytic Alectoria sarmentosa (Ach.) Ach. and the fruticose, terricolous and mat-forming Cladina rangiferina (L.) Weber ex Wigg. The models were compared and validated for the same three species using data from a habitat with a different microclimate. Both models predicted the length and timing of lichen hydration periods, with those for A. sarmentosa and P. glauca being highly accurate-nearly 100\% of the total wet time was predicted by both the biophysical and physical models. These models also predicted an accurate timing of the total realized wet time for A. sarmentosa and P. glauca when the lichens were wet. The model accuracy was lower for C. rangiferina compared to the epiphytes, both for the total realized wet time and for the accuracy of the timing for the hydration period. These results demonstrate that the stochastic and continually varying hydration status of lichens can be simulated from biophysical data. Further development of these models to also include water-related activity, light and temperature conditions during the hydration events will then be a potent tool to assess potential lichen productivity in landscapes and habitats of various microclimatic conditions.",10.1007/s00442-008-0990-5,0029-8549,NA,WOS:000255954100002,"Palmqvist, Kristin/D-5589-2016","Palmqvist, Kristin/0000-0002-3923-1338",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,modelled data and no temperature dependence,,
X.WOS.000263138500011,article,"Bjerke, J. W.",Ice encapsulation protects rather than disturbs the freezing lichen,PLANT BIOLOGY,2009,11,2,227-235,MAR,"Arctic and alpine terricolous lichens are adapted to harsh environments and are tolerant to extremely low temperatures when metabolically inactive. However, there are reports indicating that freezing can be lethal to metabolically active lichens. With a projected warmer and more unstable climate, winter precipitation at high latitudes will fall more frequently as rain, causing snowmelt and encapsulating terricolous lichens in ice or exposing them to large temperature fluctuations. Lichens are a major winter food source for reindeer in most parts of the circumpolar region. A laboratory experiment tested how three hydrated reindeer forage lichen species covered by snow, encapsulated in ice, or uncovered responded to storage at freezing temperatures and subsequent warming. Photosynthetic performance (maximal fluorescence of dark-adapted samples and net photosynthetic rates) was significantly lower in lichens not insulated by snow or ice, whereas there were few differences between the snow and ice treatments. It is suggested that snow and ice provide sufficiently moist environments to improve extracellular and reduce intracellular ice nucleation activity. Ice encapsulation, which is often lethal to vascular plants, did not have any negative effects on the studied lichens. The results indicate that complete snow and ice melt followed by refreezing can be detrimental to terricolous lichen ecosystems. Reduced lichen biomass will have a negative effect both on reindeer winter survival and the indigenous peoples who herd reindeer.",10.1111/j.1438-8677.2008.00113.x,1435-8603,1438-8677,WOS:000263138500011,NA,"Bjerke, Jarle/0000-0003-2721-1492",NA,NA,NA,NA,NA,NA,NA,selected,doesn't seem relevant -- lookslike no temperature?,n,n,"different species, no temperature ",,
X.WOS.000371640300008,article,"Bokhorst, Stef and Convey, Peter and Huiskes, Ad and Aerts, Rien","Usnea antarctica, an important Antarctic lichen, is vulnerable to aspects of regional environmental change",POLAR BIOLOGY,2016,39,3,511-521,MAR,"Studies of cryptogam responses to climate change in the polar regions are scarce because these slow-growing organisms require long-term monitoring studies. Here, we analyse the response of a lichen and moss community to 10 years of passive environmental manipulation using open-top chambers (OTCs) in the maritime Antarctic region. Cover of the dominant lichen Usnea antarctica declined by 71 \% in the OTCs. However, less dominant lichen species showed no significant responses except for an increase in Ochrolechia frigida, which typically covered dying lichen and moss vegetation. There were no detectable responses in the moss or associated micro-arthropod communities to the influence of the OTCs. Based on calculated respiration rates, we hypothesise that the decline of U. antarctica was most likely caused by increased net winter respiration rates (11 \%), driven by the higher temperatures and lower light levels experienced inside the OTCs as a result of greater snow accumulation. During summer, U. antarctica appears unable to compensate for this increased carbon loss, leading to a negative carbon balance on an annual basis, and the lichen therefore appears to be vulnerable to such climate change simulations. These findings indicate that U. antarctica dominated fell-fields may change dramatically if current environmental change trends continue in the maritime Antarctic, especially if associated with increases in winter snow depth or duration.",10.1007/s00300-015-1803-z,0722-4060,1432-2056,WOS:000371640300008,"Bokhorst, Stef/D-1858-2009 Convey, Peter/AAV-5728-2020 ","Convey, Peter/0000-0001-8497-9903 Bokhorst, Stef/0000-0003-0184-1162 Aerts, Rien/0000-0001-6694-0669",NA,NA,NA,NA,NA,NA,NA,selected,,n,n,abundance data ,,
X.WOS.000691673500005,article,"Miralles, Isabel and Trasar-Cepeda, Carmen and Soria, Rocio and Ortega, Raul and Lucas-Borja, Manuel Esteban",Environmental and ecological factors influencing soil functionality of biologically crusted soils by different lichen species in drylands,SCIENCE OF THE TOTAL ENVIRONMENT,2021,794,NA,NA,10-Nov,"Biocrusts are an essential soil surface cover at drylands where ecosystems are especially fragile to soil degradation processes due to climatic peculiarities. In the present work, (micro)biological and physicochemical properties indicative of soil functionality were studied in two different biocrust types dominated by Dipolschistes diacapsis and Lepraria isidiata and in underlying soil at two different depths (SL1, soil layer right below the biocrusts, and SL2, soil layer underlying SL1) at the Tabernas desert (southeast Spain). The influence of climatic factors (rainfall and temperature) and general soil properties on the (micro)biological properties were also analyzed in different environmental (climatic) conditions over a period of two years. PERMANOVA analyses showed significant statistical differences (Pseudo-F = 63.9; P (perm) = 0.001) among biocrust and soil layers. Throughout the study period, enzyme activities involved in C, N, and P cycles; microbial biomass-C; basal respiration; and several properties directly related to ecosystem productivity (total organic carbon, total nitrogen, concentration of ammonium and nitrate) were higher in both biocrust types than in the underlying soil layers, showing that biocrusts improved soil functions related to nutrient cycling. These properties progressively diminished in successive soil layers under the biocrusts (biocrusts > SL1 > SL2). Biocrusts showed greater similarity to each other and to SL1 than to SL2 in (micro)biological properties. A distance-based linear model analysis showed that total organic carbon, rainfall, pH, mineralized NNH4+, and total nitrogen were the most important variables for predicting (micro)biological soil properties in biocrusts. Different biochemical behavior between the biocrusts and successive underlying soil layers has been found in wet periods. After rainfall periods, the biocrusts showed important peaks in basal soil respiration and in enzyme activities involved in C and P cycles. Nevertheless, soil biochemical properties hardly showed any peak in SL1 and did not change in SL2 despite soil moisture being higher in the soil layers below the biocrusts. Correlation analyses corroborated the existence of different relationships between soil moisture and enzymatic activities. In biocrusts, soil moisture showed a greater number of significant positive correlations with enzymes such as beta-glucosidase, invertase, and phosphomonoesterase among others, whereas in SL1 it was only correlated with cellulase and in SL2 with dehydrogenase. A change in rainfall regime, as predicted by models based on climate change in arid and semiarid zones, could affect the activity of soil enzymes in the biocrusts and underlying layers, thus aggravating the degradation of these fragile dryland ecosystems. (c) 2021 The Authors. Published by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http:// creativecommons.org/licenses/by-nc-nd/4.0/).",10.1016/j.scitotenv.2021.148491,0048-9697,1879-1026,WOS:000691673500005,NA,"Ortega Perez, Raul/0000-0003-4371-7311 Soria, Rocio/0000-0002-1869-1108 Miralles, Isabel/0000-0002-7385-3720",NA,148491,NA,NA,NA,NA,NA,selected,,n,n,"soil layers, no temperature dependent effects figs ",,
